CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820840715,101,105,64,55,17,6,2,1,1,0,0,0,0,0,0,0,0,0,0,352
820840716,65,64,48,38,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,242
820840717,55,60,51,49,26,8,1,1,1,0,0,0,0,0,0,0,0,0,0,252
820840718,53,49,45,38,26,7,4,0,0,0,0,0,0,0,0,0,0,0,0,222
820840719,107,87,55,41,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,307
820840720,109,76,33,22,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,251
820840721,68,57,47,49,44,7,7,1,0,0,0,0,0,0,0,0,0,0,0,280
820840722,37,39,26,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,130
820840723,93,70,65,52,28,4,3,0,2,0,0,0,0,0,0,0,0,0,0,317
820840724,51,61,70,72,33,5,4,1,1,1,0,0,0,0,0,0,0,0,0,299
820840725,29,51,60,36,32,13,3,1,0,0,0,0,0,0,0,0,0,0,0,225
820840726,39,52,44,45,29,6,0,0,2,1,0,0,0,0,0,0,0,0,0,218
820840727,32,44,41,38,37,5,2,0,0,0,0,0,0,0,0,0,0,0,0,199
820840728,32,49,50,50,35,7,2,5,3,0,1,1,0,0,0,0,0,0,0,235
820840729,48,67,49,42,20,4,2,0,1,0,0,0,0,0,0,0,0,0,0,233
820840730,47,72,73,79,85,13,12,5,5,2,1,0,0,0,0,0,0,0,0,394
820840731,82,60,43,45,39,8,0,3,2,0,0,0,0,0,0,0,0,0,0,282
820840732,54,39,33,25,15,4,0,0,1,0,1,0,0,0,0,0,0,0,0,172
820840733,51,54,36,32,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,185
820840734,57,41,56,49,49,12,8,5,2,0,0,0,0,0,0,0,0,0,0,279
820840801,44,35,32,24,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,149
820840802,89,64,29,23,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,214
820840803,88,52,28,29,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,215
820840804,99,47,22,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
820840805,81,71,37,26,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,228
820840806,91,86,62,65,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,325
820840807,90,78,47,46,23,6,6,0,1,0,0,0,0,0,0,0,0,0,0,297
820840808,118,127,75,72,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,416
820840809,65,54,30,12,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,168
